,Person Description,Place Code,Customer Order,Additional Features in market,Promotion Name,Store Kind,Store Sales,Store Cost,Product Weights Data in (KG),Is Recyclable?,Min. Yearly Income,Store Area,Grocery Area,Frozen Area,Meat Area,Cost
mc_ID_8470,"Married Female with four children, education: bachelors degree working as professional",M12ty_DF,"Canned Soup from Canned Foods department, Ordered Brand : Pleasant",,Go For It,Mid-Size,5.64 Millions,2.256 Millions,"{'Gross Weight': 29.3626, 'Net Weight': 27.909, 'Package Weight': 1.4536}",recyclable,30K+,,2085.67,,520.5,717.3991
mc_ID_8471,"Married Female with five children, education: high school degree working as skilled manual",T02ma_WA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Steady","['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",,Deluxe,6.96 Millions,2.784 Millions,"{'Gross Weight': 15.6988, 'Net Weight': 12.7916, 'Package Weight': 2.9072}",recyclable,30K+,3145.51,2055.77,654.13,436.09,267.3576
mc_ID_8472,"Married Female with one child, education: partial college working as professional",H11go_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Horatio","['Bar For Salad', 'Video Store', 'Florist', 'Ready Food', 'Coffee Bar']",Go For It,Deluxe,5.46 Millions,2.2932 Millions,"{'Gross Weight': 13.3149, 'Net Weight': 11.8468, 'Package Weight': 1.4681}",recyclable,30K+,2841.35,2038.11,481.98,320.87,455.3761
mc_ID_8473,"Single Male with three children, education: partial high school working as manual",G16ra_JA,"Electrical from Household department, Ordered Brand : Cormorant",['Coffee Bar'],Full Free,Small Grocery,2.76 Millions,1.242 Millions,"{'Gross Weight': 29.7987, 'Net Weight': 26.8915, 'Package Weight': 2.9072}",non recyclable,10K+,2281.46,1394.66,534.29,356.19,320.4421
mc_ID_8474,"Married Male with two children, education: high school degree working as management",L05es_CA,"Baking Goods from Baking Goods department, Ordered Brand : Plato",['Florist'],Save Price,Supermarket,6.88 Millions,2.752 Millions,"{'Gross Weight': 16.571, 'Net Weight': 13.6492, 'Package Weight': 2.9217}",non recyclable,150K+,2193.95,1320.15,525.32,349.9,670.486
mc_ID_8475,"Single Male with three children, education: high school degree working as manual",S01em_OR,"Paper Products from Household department, Ordered Brand : Red Wing","['Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food', 'Video Store']",,Deluxe,1.92 Millions,0.7872 Millions,"{'Gross Weight': 23.8389, 'Net Weight': 22.24, 'Package Weight': 1.599}",non recyclable,30K+,2571.62,1734.5,503.07,334.71,290.7357
mc_ID_8476,"Single Female with one child, education: partial high school working as manual",H11go_ZA,"Vegetables from Produce department, Ordered Brand : Hermanos","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad', 'Video Store']",Go For It,Deluxe,7.48 Millions,2.4684 Millions,"{'Gross Weight': 19.0421, 'Net Weight': 17.5885, 'Package Weight': 1.4536}",non recyclable,10K+,2840.25,2035.96,481.98,321.26,455.3761
mc_ID_8477,"Single Female with five children, education: partial college working as manual",M10da_YU,"Fruit from Produce department, Ordered Brand : Ebony","['Ready Food', 'Florist', 'Video Store', 'Bar For Salad', 'Coffee Bar']",Promo Big,Deluxe,8.31 Millions,2.493 Millions,"{'Gross Weight': 26.8915, 'Net Weight': 23.9843, 'Package Weight': 2.9072}",recyclable,30K+,2862.34,,593.93,395.95,578.2288
mc_ID_8478,"Married Male with three children, education: high school degree working as manual",H11go_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice","['Coffee Bar', 'Video Store', 'Bar For Salad', 'Florist', 'Ready Food']",Price Winners,Deluxe,7.78 Millions,2.8008 Millions,"{'Gross Weight': 28.7811, 'Net Weight': 24.275, 'Package Weight': 4.5061}",non recyclable,30K+,2840.15,2038.11,,321.26,453.9117
mc_ID_8479,"Single Male with three children, education: partial high school working as manual",B06ls_CA,"Bread from Baked Goods department, Ordered Brand : Sphinx","['Video Store', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Shelf Emptiers,Gourmet,2.12 Millions,0.9328 Millions,"{'Gross Weight': 11.8613, 'Net Weight': 8.9396, 'Package Weight': 2.9217}",recyclable,10K+,2199,1424.85,465.54,310.3,564.2647
mc_ID_8480,"Married Female with four children, education: high school degree working as skilled manual",M12ty_DF,"Vegetables from Canned Foods department, Ordered Brand : Bravo",,Two Day Sale,Mid-Size,5.18 Millions,2.2792 Millions,"{'Gross Weight': 13.9981, 'Net Weight': 11.0909, 'Package Weight': 2.9072}",non recyclable,30K+,3391.8,2085.67,783.64,522.49,734.9719
mc_ID_8481,"Single Female with three children, education: high school degree working as skilled manual",T02ma_WA,"Decongestants from Health and Hygiene department, Ordered Brand : Faux Products","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Budget Bargains,Deluxe,5.22 Millions,1.8792 Millions,"{'Gross Weight': 24.275, 'Net Weight': 19.9142, 'Package Weight': 4.3608}",recyclable,50K+,3145.55,2055.29,654.13,435.73,715.1502
mc_ID_8482,"Single Male with two children, education: high school degree working as skilled manual",B08am_WA,"Meat from Deli department, Ordered Brand : Cutting Edge",['Coffee Bar'],Sale Winners,Small Grocery,1.44 Millions,0.6336 Millions,"{'Gross Weight': 28.4904, 'Net Weight': 25.5832, 'Package Weight': 2.9072}",recyclable,30K+,2615.69,2069.04,330.83,220.55,564.9446
mc_ID_8483,"Single Male with three children, education: bachelors degree working as professional",S03le_WA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",['Coffee Bar'],,Supermarket,6.52 Millions,2.2168 Millions,"{'Gross Weight': 18.1699, 'Net Weight': 15.2627, 'Package Weight': 2.9072}",recyclable,70K+,1970.94,1238.19,440.92,295.93,477.3944
mc_ID_8484,"Married Female with five children, education: partial high school working as skilled manual",H11go_ZA,"Canned Tuna from Canned Foods department, Ordered Brand : Pleasant","['Ready Food', 'Video Store', 'Bar For Salad', 'Coffee Bar', 'Florist']",Go For It,Deluxe,4.11 Millions,1.9728 Millions,"{'Gross Weight': 12.9515, 'Net Weight': 8.5762, 'Package Weight': 4.3753}",recyclable,10K+,,2037.13,481.98,319.65,455.3761
mc_ID_8485,"Single Female with four children, education: partial high school working as manual",B06ls_CA,"Candy from Snacks department, Ordered Brand : Thresher","['Video Store', 'Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",Price Cutters,Gourmet,4.74 Millions,2.133 Millions,"{'Gross Weight': 14.972, 'Net Weight': 12.0648, 'Package Weight': 2.9072}",recyclable,10K+,2200.69,1424.85,465.54,311.22,675.716
mc_ID_8486,"Married Female with No children, education: partial high school working as skilled manual",P07nd_OR,"Vegetables from Frozen Foods department, Ordered Brand : PigTail",,Roller Savings (High) ,Supermarket,6.64 Millions,2.3904 Millions,"{'Gross Weight': 14.3034, 'Net Weight': 11.3962, 'Package Weight': 2.9072}",recyclable,30K+,1884.4,1508,227.8,151.9,379.7503
mc_ID_8487,"Married Male with two children, education: graduate degree working as management",O09ba_VE,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Johnson","['Ready Food', 'Bar For Salad']",Three for One,Supermarket,1.8 Millions,0.81 Millions,"{'Gross Weight': 26.6008, 'Net Weight': 23.5482, 'Package Weight': 3.0525}",recyclable,110K+,3229.63,2448.37,470.27,313.55,656.2604
mc_ID_8488,"Married Female with No children, education: partial high school working as skilled manual",L05es_CA,"Bathroom Products from Health and Hygiene department, Ordered Brand : Consolidated",['Florist'],Save It (Sale),Supermarket,5.91 Millions,2.8959 Millions,"{'Gross Weight': 18.1699, 'Net Weight': 15.2627, 'Package Weight': 2.9072}",non recyclable,10K+,2192.32,1320.15,523.32,349.43,427.7617
mc_ID_8489,"Married Female with two children, education: partial high school working as skilled manual",H11go_ZA,"Fruit from Produce department, Ordered Brand : Tell Tale",,,Mid-Size,5.73 Millions,2.0628 Millions,"{'Gross Weight': 30.0894, 'Net Weight': 28.6358, 'Package Weight': 1.4536}",non recyclable,10K+,,2819.7,447.7,298.5,693.498
mc_ID_8490,"Single Female with three children, education: high school degree working as skilled manual",T02ma_WA,"Meat from Frozen Foods department, Ordered Brand : Imagine","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist']",Tip Top Savings,Deluxe,9.75 Millions,3.2175 Millions,"{'Gross Weight': 24.1296, 'Net Weight': 19.7689, 'Package Weight': 4.3608}",recyclable,30K+,3149.41,2057.36,654.13,435.07,745.6934
mc_ID_8491,"Single Male with three children, education: bachelors degree working as professional",P07nd_OR,"Canned Shrimp from Canned Foods department, Ordered Brand : Just Right",,Go For It,Supermarket,6.22 Millions,2.9856 Millions,"{'Gross Weight': 20.2049, 'Net Weight': 18.606, 'Package Weight': 1.599}",non recyclable,50K+,1891.97,1510.37,227.8,153.31,623.939
mc_ID_8492,"Married Male with one child, education: bachelors degree working as management",A17co_GU,"Dairy from Dairy department, Ordered Brand : Even Better",,Two Day Sale,Supermarket,5.38 Millions,2.0982 Millions,"{'Gross Weight': 10.7857, 'Net Weight': 7.8785, 'Package Weight': 2.9072}",recyclable,90K+,2191.07,1623.48,341.05,226.76,383.2021
mc_ID_8493,"Married Female with one child, education: high school degree working as skilled manual",V13er_BC,"Bathroom Products from Health and Hygiene department, Ordered Brand : Hilltop","['Florist', 'Video Store', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Price Slashers,,13.52 Millions,4.056 Millions,"{'Gross Weight': 19.9142, 'Net Weight': 15.4081, 'Package Weight': 4.5061}",recyclable,30K+,,1525.28,373.1,248.79,403.9652
mc_ID_8494,"Single Female with two children, education: bachelors degree working as professional",S03le_WA,"Vegetables from Produce department, Ordered Brand : Tri-State",['Coffee Bar'],Double Your Savings,Supermarket,11.2 Millions,4.704 Millions,"{'Gross Weight': 18.4606, 'Net Weight': 15.4081, 'Package Weight': 3.0525}",non recyclable,50K+,1971.67,1236.47,440.92,293.95,493.8689
mc_ID_8495,"Single Male with two children, education: partial high school working as manual",P07nd_OR,"Canned Soup from Canned Foods department, Ordered Brand : Bravo",,Go For It,Supermarket,5.48 Millions,2.5756 Millions,"{'Gross Weight': 25.7286, 'Net Weight': 22.8214, 'Package Weight': 2.9072}",recyclable,10K+,1890.98,1506.92,227.8,151.9,623.939
mc_ID_8496,"Married Female with five children, education: partial high school working as skilled manual",H11go_ZA,"Carbonated Beverages from Beverages department, Ordered Brand : Fabulous","['Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food', 'Florist']",Two for One,Deluxe,4.68 Millions,1.8252 Millions,"{'Gross Weight': 25.7286, 'Net Weight': 21.3678, 'Package Weight': 4.3608}",non recyclable,10K+,2841.35,,481.98,320.1,358.9349
mc_ID_8497,"Married Male with three children, education: partial high school working as skilled manual",T02ma_WA,"Fruit from Produce department, Ordered Brand : Ebony","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Save Price,Deluxe,12.96 Millions,6.2208 Millions,"{'Gross Weight': 21.8039, 'Net Weight': 18.8967, 'Package Weight': 2.9072}",non recyclable,10K+,3143.17,2055.29,654.13,436.09,584.191
mc_ID_8498,"Married Female with four children, education: high school degree working as professional",B06ls_CA,"Starchy Foods from Starchy Foods department, Ordered Brand : Discover","['Bar For Salad', 'Florist', 'Ready Food', 'Video Store', 'Coffee Bar']",Save It (Sale),Gourmet,7.83 Millions,2.9754 Millions,"{'Gross Weight': 31.543, 'Net Weight': 30.0894, 'Package Weight': 1.4536}",recyclable,90K+,2198.53,1426.99,,310.3,427.7617
mc_ID_8499,"Single Female with two children, education: partial high school working as manual",B06ls_CA,"Canned Soup from Canned Foods department, Ordered Brand : Just Right","['Video Store', 'Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",Two for One,Gourmet,1.83 Millions,0.6588 Millions,"{'Gross Weight': 17.8792, 'Net Weight': 16.4256, 'Package Weight': 1.4536}",recyclable,10K+,2203.05,1424.85,465.54,310.3,360.7131
mc_ID_8500,"Single Male with four children, education: partial high school working as manual",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Ready Food', 'Florist', 'Coffee Bar', 'Video Store', 'Bar For Salad']",Money Savers,Deluxe,8.94 Millions,3.3078 Millions,"{'Gross Weight': 15.6988, 'Net Weight': 11.338, 'Package Weight': 4.3608}",recyclable,10K+,2861.13,1873.44,593.93,397.68,343.611
mc_ID_8501,"Married Female with three children, education: partial college working as clerical",O09ba_VE,"Hygiene from Health and Hygiene department, Ordered Brand : Hilltop","['Ready Food', 'Bar For Salad']",Wallet Savers,Supermarket,4.8 Millions,2.304 Millions,"{'Gross Weight': 28.7811, 'Net Weight': 25.7286, 'Package Weight': 3.0525}",recyclable,30K+,3235.94,2448.37,472.27,,324.8876
mc_ID_8502,"Married Female with No children, education: bachelors degree working as management",S01em_OR,"Pizza from Frozen Foods department, Ordered Brand : Carrington","['Florist', 'Video Store', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Sale : Double Down,Deluxe,11.19 Millions,4.1403 Millions,"{'Gross Weight': 26.8915, 'Net Weight': 22.5307, 'Package Weight': 4.3608}",non recyclable,70K+,2575.54,,503.07,335.38,265.6317
mc_ID_8503,"Married Male with one child, education: graduate degree working as professional",P07nd_OR,"Canned Soup from Canned Foods department, Ordered Brand : Better",,Best Price Savers,Supermarket,1.89 Millions,0.7371 Millions,"{'Gross Weight': 23.2575, 'Net Weight': 18.8967, 'Package Weight': 4.3608}",recyclable,130K+,1887.7,1508,227.8,151.9,650.4028
mc_ID_8504,"Married Male with one child, education: bachelors degree working as management",L05es_CA,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Portsmouth",['Florist'],Dollar Days,Supermarket,6.86 Millions,2.6754 Millions,"{'Gross Weight': 12.2247, 'Net Weight': 10.7566, 'Package Weight': 1.4681}",non recyclable,70K+,2188.49,1317.61,523.32,348.49,748.0992
mc_ID_8505,"Married Female with two children, education: partial high school working as manual",S01em_OR,"Snack Foods from Snack Foods department, Ordered Brand : Fast","['Video Store', 'Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",Full Free,Deluxe,4.92 Millions,1.968 Millions,"{'Gross Weight': 11.7014, 'Net Weight': 8.7942, 'Package Weight': 2.9072}",non recyclable,10K+,2574.49,1734.5,503.07,335.38,752.2309
mc_ID_8506,"Single Female with four children, education: high school degree working as manual",T02ma_WA,"Specialty from Produce department, Ordered Brand : Ebony","['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",,Deluxe,9.56 Millions,3.5372 Millions,"{'Gross Weight': 27.3275, 'Net Weight': 24.275, 'Package Weight': 3.0525}",non recyclable,30K+,3144.31,2055.29,654.13,435.33,584.191
mc_ID_8507,"Married Female with one child, education: high school degree working as manual",H11go_ZA,"Hot Beverages from Beverages department, Ordered Brand : Super","['Coffee Bar', 'Video Store', 'Ready Food', 'Florist', 'Bar For Salad']",Go For It,Deluxe,11.44 Millions,4.3472 Millions,"{'Gross Weight': 27.4729, 'Net Weight': 24.4204, 'Package Weight': 3.0525}",non recyclable,30K+,2839.6,2038.11,481.98,320.54,455.3761
mc_ID_8508,"Married Male with one child, education: high school degree working as skilled manual",P07nd_OR,"Vegetables from Produce department, Ordered Brand : Hermanos",,Weekend Discount,Supermarket,2.62 Millions,0.8122 Millions,"{'Gross Weight': 21.2225, 'Net Weight': 19.7689, 'Package Weight': 1.4536}",recyclable,30K+,1890.71,1508,227.8,151.9,735.1811
mc_ID_8509,"Single Male with one child, education: partial college working as management",T02ma_WA,"Meat from Frozen Foods department, Ordered Brand : Imagine","['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",Saving Days,Deluxe,13.84 Millions,4.7056 Millions,"{'Gross Weight': 15.9895, 'Net Weight': 11.6287, 'Package Weight': 4.3608}",non recyclable,30K+,3145.51,2055.29,654.13,436.09,352.0313
mc_ID_8510,"Single Male with one child, education: graduate degree working as professional",M10da_YU,"Frozen Desserts from Frozen Foods department, Ordered Brand : PigTail","['Florist', 'Video Store', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Discount Frenzy,Deluxe,3.84 Millions,1.8432 Millions,"{'Gross Weight': 22.24, 'Net Weight': 19.3328, 'Package Weight': 2.9072}",recyclable,90K+,2861.13,1871.16,593.93,397.23,326.352
mc_ID_8511,"Married Male with five children, education: bachelors degree working as management",P07nd_OR,"Bathroom Products from Health and Hygiene department, Ordered Brand : Consolidated",,Save Price,Supermarket,5.91 Millions,2.5413 Millions,"{'Gross Weight': 18.1699, 'Net Weight': 15.2627, 'Package Weight': 2.9072}",non recyclable,50K+,,1508,227.8,151.9,428.0755
mc_ID_8512,"Married Male with three children, education: partial high school working as skilled manual",S04ne_WA,"Hygiene from Health and Hygiene department, Ordered Brand : Bird Call",,,Supermarket,5.92 Millions,2.5456 Millions,"{'Gross Weight': 20.3503, 'Net Weight': 15.9895, 'Package Weight': 4.3608}",non recyclable,10K+,2816.48,2047.88,457.36,304.91,697.7866
mc_ID_8513,"Married Female with four children, education: high school degree working as skilled manual",S04ne_WA,"Electrical from Household department, Ordered Brand : Denny",,Promo Big,Supermarket,11.61 Millions,4.2957 Millions,"{'Gross Weight': 25.2925, 'Net Weight': 22.24, 'Package Weight': 3.0525}",non recyclable,30K+,2811.99,2049.72,457.36,304.91,515.2596
mc_ID_8514,"Single Male with one child, education: bachelors degree working as professional",H11go_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Video Store', 'Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad']",One Day Sale,,4.26 Millions,2.0874 Millions,"{'Gross Weight': 10.6258, 'Net Weight': 7.704, 'Package Weight': 2.9217}",recyclable,110K+,,2038.11,481.98,320.25,767.3456
mc_ID_8515,"Married Female with three children, education: partial college working as professional",S04ne_WA,"Vegetables from Canned Foods department, Ordered Brand : Just Right",,,Supermarket,5.44 Millions,2.0672 Millions,"{'Gross Weight': 28.6358, 'Net Weight': 27.1822, 'Package Weight': 1.4536}",recyclable,30K+,2811.99,2049.72,457.36,304.91,339.8977
mc_ID_8516,"Single Female with one child, education: high school degree working as manual",T02ma_WA,"Paper Products from Household department, Ordered Brand : Sunset","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Sale : Double Down,Deluxe,1.72 Millions,0.5504 Millions,"{'Gross Weight': 11.6287, 'Net Weight': 10.1752, 'Package Weight': 1.4536}",non recyclable,30K+,3145.51,2055.87,654.13,436.09,500.7202
mc_ID_8517,"Married Male with three children, education: partial high school working as manual",V13er_BC,"Fruit from Canned Products department, Ordered Brand : Swell","['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar', 'Video Store']",Price Cutters,Deluxe,9.36 Millions,4.5864 Millions,"{'Gross Weight': 12.53, 'Net Weight': 11.0618, 'Package Weight': 1.4681}",non recyclable,10K+,2147.17,1525.28,,,642.0871
mc_ID_8518,"Married Male with one child, education: partial high school working as manual",S04ne_WA,"Hardware from Household department, Ordered Brand : Sunset",,Price Winners,,5.49 Millions,2.4705 Millions,"{'Gross Weight': 28.4904, 'Net Weight': 25.5832, 'Package Weight': 2.9072}",recyclable,10K+,2811.99,2051,,304.91,599.358
mc_ID_8519,"Single Male with one child, education: partial high school working as skilled manual",V13er_BC,"Canned Soup from Canned Foods department, Ordered Brand : Just Right","['Florist', 'Video Store', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",I Cant Believe It Sale,Deluxe,3.93 Millions,1.3755 Millions,"{'Gross Weight': 13.2277, 'Net Weight': 10.3205, 'Package Weight': 2.9072}",non recyclable,10K+,2144.94,1525.52,373.1,247.8,535.9181
mc_ID_8520,"Married Male with three children, education: high school degree working as manual",M12ty_DF,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato",,Sale Sale Sale,,7.35 Millions,2.7195 Millions,"{'Gross Weight': 17.4431, 'Net Weight': 13.0823, 'Package Weight': 4.3608}",recyclable,30K+,3391.8,2085.67,783.64,,739.4697
mc_ID_8521,"Single Male with three children, education: partial high school working as management",S03le_WA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Carrington",['Coffee Bar'],Weekend Discount,Supermarket,5.01 Millions,2.1543 Millions,"{'Gross Weight': 29.3626, 'Net Weight': 26.4554, 'Package Weight': 2.9072}",non recyclable,70K+,1970.94,1236.07,440.92,293.95,364.1649
mc_ID_8522,"Single Male with three children, education: high school degree working as manual",O09ba_VE,"Dairy from Dairy department, Ordered Brand : Carlson","['Bar For Salad', 'Ready Food']",Money Savers,Supermarket,6.6 Millions,2.772 Millions,"{'Gross Weight': 24.8564, 'Net Weight': 21.9493, 'Package Weight': 2.9072}",non recyclable,50K+,3227.68,2448.37,470.27,313.55,290.0035
mc_ID_8523,"Married Female with four children, education: partial high school working as management",M10da_YU,"Starchy Foods from Starchy Foods department, Ordered Brand : Jardon","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Video Store', 'Florist']",GLD,Deluxe,3.6 Millions,1.26 Millions,"{'Gross Weight': 16.7163, 'Net Weight': 13.8091, 'Package Weight': 2.9072}",recyclable,130K+,2863.18,1871.16,,395.95,484.1411
mc_ID_8524,"Single Male with No children, education: graduate degree working as professional",P07nd_OR,"Candy from Snacks department, Ordered Brand : Atomic",,Money Savers,Supermarket,9.4 Millions,4.136 Millions,"{'Gross Weight': 23.1121, 'Net Weight': 20.0596, 'Package Weight': 3.0525}",recyclable,70K+,1890.74,1508,227.8,151.41,277.2423
mc_ID_8525,"Married Male with two children, education: bachelors degree working as professional",S01em_OR,"Pure Juice Beverages from Beverages department, Ordered Brand : Skinner","['Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Sale : Double Down,Deluxe,4.32 Millions,1.3392 Millions,"{'Gross Weight': 13.3294, 'Net Weight': 11.8759, 'Package Weight': 1.4536}",non recyclable,70K+,2572.86,1734.5,503.07,335.38,265.6317
mc_ID_8526,"Single Female with two children, education: partial high school working as manual",O09ba_VE,"Electrical from Household department, Ordered Brand : High Quality","['Bar For Salad', 'Ready Food']",Save Price,Supermarket,6.63 Millions,1.989 Millions,"{'Gross Weight': 30.9615, 'Net Weight': 27.909, 'Package Weight': 3.0525}",non recyclable,10K+,3236.83,2448.37,470.27,312.07,406.4756
mc_ID_8527,"Married Female with four children, education: high school degree working as skilled manual",S04ne_WA,"Eggs from Eggs department, Ordered Brand : Giant",,Promo Big,Supermarket,6.78 Millions,2.5086 Millions,"{'Gross Weight': 17.7338, 'Net Weight': 14.6813, 'Package Weight': 3.0525}",non recyclable,30K+,2816.94,2047.02,457.36,304.91,515.2596
mc_ID_8528,"Single Male with four children, education: high school degree working as manual",O09ba_VE,"Candy from Snacks department, Ordered Brand : Choice","['Bar For Salad', 'Ready Food']",Three for One,Supermarket,3.56 Millions,1.4952 Millions,"{'Gross Weight': 26.4554, 'Net Weight': 22.0946, 'Package Weight': 4.3608}",non recyclable,30K+,3232.19,,470.27,312.18,656.2604
mc_ID_8529,"Married Female with four children, education: high school degree working as skilled manual",B06ls_CA,"Dairy from Dairy department, Ordered Brand : Gorilla","['Florist', 'Ready Food', 'Bar For Salad', 'Video Store', 'Coffee Bar']",Price Cutters,Gourmet,10.64 Millions,4.8944 Millions,"{'Gross Weight': 30.8162, 'Net Weight': 29.3626, 'Package Weight': 1.4536}",recyclable,10K+,2200.69,1424.85,467.54,311.1,675.716
mc_ID_8530,"Married Female with two children, education: bachelors degree working as professional",T02ma_WA,"Pure Juice Beverages from Beverages department, Ordered Brand : Fabulous","['Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Sale : Double Down,Deluxe,8.88 Millions,3.2856 Millions,"{'Gross Weight': 24.5657, 'Net Weight': 20.0596, 'Package Weight': 4.5061}",non recyclable,110K+,3148.79,2056.33,656.13,436.09,500.7202
mc_ID_8531,"Married Female with four children, education: high school degree working as professional",S01em_OR,"Fruit from Produce department, Ordered Brand : Tri-State","['Video Store', 'Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",Save Price,Deluxe,10.28 Millions,3.2896 Millions,"{'Gross Weight': 26.1647, 'Net Weight': 23.2575, 'Package Weight': 2.9072}",recyclable,90K+,2567.98,1734.5,503.07,335.38,419.9167
mc_ID_8532,"Married Female with one child, education: partial college working as manual",S01em_OR,"Jams and Jellies from Baking Goods department, Ordered Brand : Super","['Florist', 'Ready Food', 'Video Store', 'Bar For Salad', 'Coffee Bar']",Price Slashers,Deluxe,5.16 Millions,2.3736 Millions,"{'Gross Weight': 19.7689, 'Net Weight': 16.8617, 'Package Weight': 2.9072}",recyclable,30K+,2569.26,1734.5,503.07,335.38,282.9953
mc_ID_8533,"Single Male with one child, education: bachelors degree working as professional",O09ba_VE,"Fruit from Produce department, Ordered Brand : Tell Tale","['Ready Food', 'Bar For Salad']",Best Savings,Supermarket,5.48 Millions,2.4112 Millions,"{'Gross Weight': 14.3179, 'Net Weight': 11.4107, 'Package Weight': 2.9072}",non recyclable,50K+,3236.8,2448.37,470.27,314.67,576.1891
mc_ID_8534,"Single Male with two children, education: partial high school working as management",T02ma_WA,"Meat from Meat department, Ordered Brand : Quick","['Florist', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Sale : Double Down,Deluxe,7.83 Millions,3.4452 Millions,"{'Gross Weight': 30.3801, 'Net Weight': 25.874, 'Package Weight': 4.5061}",recyclable,90K+,3145.51,2055.29,654.13,436.09,500.7202
mc_ID_8535,"Married Male with two children, education: bachelors degree working as management",B06ls_CA,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best","['Coffee Bar', 'Florist', 'Video Store', 'Bar For Salad', 'Ready Food']",,Gourmet,2.24 Millions,0.8288 Millions,"{'Gross Weight': 12.8788, 'Net Weight': 9.9571, 'Package Weight': 2.9217}",recyclable,50K+,2196.34,,465.54,310.97,689.3663
mc_ID_8536,"Married Female with four children, education: partial high school working as skilled manual",S04ne_WA,"Candy from Snacks department, Ordered Brand : Thresher",,Two for One,Supermarket,3.62 Millions,1.5204 Millions,"{'Gross Weight': 10.4659, 'Net Weight': 7.5441, 'Package Weight': 2.9217}",non recyclable,10K+,2815.68,,457.36,306.1,451.9766
mc_ID_8537,"Single Female with four children, education: partial high school working as professional",T02ma_WA,"Drinks from Beverages department, Ordered Brand : Fabulous","['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Save Price,Deluxe,19.75 Millions,8.8875 Millions,"{'Gross Weight': 26.6008, 'Net Weight': 23.5482, 'Package Weight': 3.0525}",non recyclable,110K+,3145.51,2055.29,654.13,436.09,584.191
mc_ID_8538,"Married Female with two children, education: bachelors degree working as management",S03le_WA,"Meat from Deli department, Ordered Brand : Red Spade",['Coffee Bar'],Weekend Discount,Supermarket,5.07 Millions,1.521 Millions,"{'Gross Weight': 26.31, 'Net Weight': 24.8564, 'Package Weight': 1.4536}",non recyclable,90K+,1970.94,1236.07,440.92,293.05,364.1649
mc_ID_8539,"Married Male with No children, education: high school degree working as skilled manual",M10da_YU,"Cold Remedies from Health and Hygiene department, Ordered Brand : Steady","['Coffee Bar', 'Florist', 'Video Store', 'Ready Food', 'Bar For Salad']",Big Time Saving,Deluxe,10.5 Millions,3.465 Millions,"{'Gross Weight': 31.6883, 'Net Weight': 30.0894, 'Package Weight': 1.599}",recyclable,30K+,2861.13,1871.16,595.93,,676.6574
mc_ID_8540,"Single Male with one child, education: high school degree working as manual",P07nd_OR,"Fruit from Produce department, Ordered Brand : Hermanos",,Shelf Clearing Days,Supermarket,10.24 Millions,4.8128 Millions,"{'Gross Weight': 21.8039, 'Net Weight': 20.3503, 'Package Weight': 1.4536}",recyclable,50K+,1887.7,1508,,151.9,399.6243
